CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-100023,Female,1,No,No,66,One year,Yes,Credit card (automatic),33.95,2171.72,No
CUST-100024,Female,0,Yes,Yes,54,Two year,No,Credit card (automatic),41.44,2143.2,No
CUST-100025,Male,0,No,Yes,35,One year,Yes,Credit card (automatic),65.79,2124.74,Yes
CUST-100026,Male,0,No,Yes,55,Two year,No,Mailed check,112.3,6000.82,No
CUST-100027,Female,0,No,Yes,55,Two year,Yes,Bank transfer (automatic),50.98,2724.92,No
CUST-100028,Male,0,No,No,40,One year,Yes,Credit card (automatic),69.01,2633.97,No
CUST-100029,Male,0,Yes,Yes,72,Two year,Yes,Electronic check,118.49,8191.8,No
CUST-100030,Female,0,Yes,Yes,25,One year,Yes,Bank transfer (automatic),100.94,2592.85,Yes
CUST-100031,Male,0,Yes,No,46,Two year,No,Mailed check,78.38,3887.68,Yes
CUST-100032,Female,0,Yes,Yes,20,One year,Yes,Credit card (automatic),118.85,2563.02,No
CUST-100033,Female,0,No,Yes,31,One year,Yes,Credit card (automatic),43.94,1439.28,No
CUST-100034,Female,0,Yes,Yes,66,Two year,No,Credit card (automatic),72.44,4889.1,No
CUST-100035,Male,0,Yes,Yes,46,Month-to-month,Yes,Credit card (automatic),33.36,1582.92,No
CUST-100036,Female,0,No,Yes,61,Two year,Yes,Mailed check,52.48,3398.48,No
CUST-100037,Male,0,Yes,No,12,One year,Yes,Credit card (automatic),118.69,1315.43,Yes
CUST-100038,Female,1,Yes,Yes,20,Month-to-month,No,Electronic check,100.4,1990.43,No
CUST-100039,Male,0,Yes,Yes,15,Two year,No,Bank transfer (automatic),118.1,1888.47,No
CUST-100040,Female,0,No,Yes,19,One year,No,Bank transfer (automatic),27.77,554.49,No
CUST-100041,Female,0,Yes,No,20,Month-to-month,Yes,Credit card (automatic),64.29,1329.99,Yes
CUST-100042,Male,0,Yes,Yes,62,One year,No,Bank transfer (automatic),25.88,1536.08,No
CUST-100043,Male,0,Yes,Yes,0,Month-to-month,No,Electronic check,48.62,48.62,No
CUST-100044,Male,0,Yes,Yes,15,One year,No,Bank transfer (automatic),27.38,373.7,No
CUST-100045,Male,0,No,No,12,One year,Yes,Mailed check,46.66,506.33,No
CUST-100046,Female,1,No,No,17,Two year,Yes,Credit card (automatic),114.48,2080.1,No
CUST-100047,Male,0,Yes,No,28,Month-to-month,Yes,Bank transfer (automatic),57.71,1482.14,No
CUST-100048,Male,1,Yes,No,43,Month-to-month,Yes,Electronic check,119.01,5107.86,Yes
CUST-100049,Male,1,No,No,56,Two year,Yes,Electronic check,25.91,1552.22,Yes
CUST-100050,Female,0,Yes,No,30,Month-to-month,Yes,Bank transfer (automatic),65.22,1955.12,No
CUST-100051,Female,0,No,Yes,62,Two year,Yes,Credit card (automatic),41.17,2625.95,No
CUST-100052,Female,0,Yes,Yes,26,One year,No,Electronic check,25.05,608.3,No
CUST-100053,Female,1,Yes,No,29,One year,No,Mailed check,77.13,2459.0,Yes
CUST-100054,Male,0,No,Yes,23,One year,No,Electronic check,108.96,2683.58,No
CUST-100055,Female,0,Yes,Yes,47,Two year,No,Bank transfer (automatic),42.04,2055.97,No
CUST-100056,Female,0,Yes,No,4,Month-to-month,No,Mailed check,114.92,421.62,No
CUST-100057,Male,0,Yes,Yes,9,One year,No,Credit card (automatic),85.54,772.95,No
CUST-100058,Female,0,No,Yes,22,Month-to-month,No,Electronic check,97.87,2353.87,No
CUST-100059,Male,0,Yes,No,20,One year,No,Electronic check,91.97,1678.66,Yes
CUST-100060,Male,0,Yes,Yes,60,One year,No,Bank transfer (automatic),25.31,1668.49,No
CUST-100061,Male,0,Yes,No,12,Two year,Yes,Mailed check,63.14,754.52,No
CUST-100062,Male,0,Yes,No,54,Two year,Yes,Electronic check,66.6,3650.11,No
CUST-100063,Female,0,Yes,No,60,Month-to-month,Yes,Bank transfer (automatic),96.27,6048.18,No
CUST-100064,Female,0,No,No,1,Month-to-month,No,Electronic check,85.02,77.74,No
CUST-100065,Female,0,Yes,Yes,28,One year,Yes,Mailed check,22.41,689.45,No
CUST-100066,Male,0,No,No,15,Two year,Yes,Electronic check,40.46,550.21,No
CUST-100067,Female,0,Yes,No,1,Month-to-month,No,Electronic check,44.95,40.67,Yes
CUST-100068,Male,0,Yes,No,41,Two year,No,Electronic check,106.0,4037.28,Yes
CUST-100069,Male,0,No,No,25,Two year,Yes,Bank transfer (automatic),53.87,1353.97,Yes
CUST-100070,Male,0,No,Yes,63,Two year,Yes,Electronic check,119.85,6876.15,Yes
CUST-100071,Female,0,No,No,15,Month-to-month,No,Bank transfer (automatic),52.62,866.96,No
CUST-100072,Female,0,Yes,No,67,One year,No,Credit card (automatic),76.48,5161.16,No
CUST-100073,Female,0,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),82.33,298.16,No
CUST-100074,Male,0,No,No,67,One year,Yes,Credit card (automatic),66.78,4572.2,Yes
CUST-100075,Male,0,Yes,No,18,One year,Yes,Credit card (automatic),68.33,1217.13,Yes
CUST-100076,Female,0,Yes,No,2,Month-to-month,No,Mailed check,66.12,143.06,No
CUST-100077,Male,0,No,No,40,Two year,No,Mailed check,91.03,3593.18,No
CUST-100078,Female,0,Yes,No,31,Month-to-month,No,Bank transfer (automatic),108.18,3474.83,Yes
CUST-100079,Female,0,Yes,No,24,Two year,No,Electronic check,40.1,960.17,No
CUST-100080,Female,0,Yes,Yes,58,Month-to-month,Yes,Bank transfer (automatic),71.53,4247.86,No
CUST-100081,Male,0,Yes,Yes,63,One year,Yes,Bank transfer (automatic),29.06,1943.26,No
CUST-100082,Female,1,Yes,Yes,42,One year,Yes,Electronic check,87.09,3899.78,No
CUST-100083,Male,0,Yes,No,28,Month-to-month,Yes,Electronic check,43.75,1282.53,Yes
CUST-100084,Male,0,Yes,No,9,Month-to-month,No,Electronic check,82.48,676.63,Yes
CUST-100085,Female,0,Yes,No,19,Month-to-month,No,Mailed check,88.37,1817.87,Yes
CUST-100086,Female,0,Yes,Yes,67,Two year,No,Credit card (automatic),89.23,6106.22,No
CUST-100087,Female,0,Yes,Yes,35,Month-to-month,Yes,Mailed check,64.57,2408.79,No
CUST-100088,Female,0,Yes,Yes,57,Two year,Yes,Electronic check,61.29,3146.51,No
CUST-100089,Male,1,No,No,32,Month-to-month,No,Mailed check,116.88,3411.18,Yes
CUST-100090,Male,0,Yes,No,31,Month-to-month,Yes,Mailed check,113.25,3349.28,Yes
CUST-100091,Female,0,Yes,Yes,28,One year,No,Mailed check,73.63,1886.56,No
CUST-100092,Male,1,No,Yes,10,One year,Yes,Electronic check,64.16,588.06,Yes
CUST-100093,Male,1,Yes,Yes,46,Two year,Yes,Mailed check,26.44,1105.81,No
CUST-100094,Male,0,No,No,18,One year,No,Mailed check,77.28,1255.21,No
CUST-100095,Male,1,Yes,Yes,10,Month-to-month,No,Credit card (automatic),47.08,486.1,No
CUST-100096,Male,0,No,No,51,Month-to-month,Yes,Electronic check,88.27,4320.93,No
CUST-100097,Female,0,Yes,Yes,55,Two year,Yes,Credit card (automatic),50.05,2621.81,No
CUST-100098,Male,0,Yes,Yes,32,One year,Yes,Mailed check,62.52,1909.5,No
CUST-100099,Female,0,No,Yes,32,Month-to-month,Yes,Credit card (automatic),23.4,736.45,No
CUST-100100,Female,0,Yes,No,36,Two year,Yes,Mailed check,48.8,1733.63,No
CUST-100101,Female,0,Yes,Yes,43,Two year,No,Bank transfer (automatic),32.4,1339.1,No
CUST-100102,Female,0,No,Yes,1,Month-to-month,No,Mailed check,119.25,121.58,No
CUST-100103,Male,1,No,No,59,One year,No,Mailed check,118.94,6397.13,No
CUST-100104,Male,1,Yes,Yes,32,Month-to-month,Yes,Mailed check,26.64,854.25,No
CUST-100105,Female,0,No,No,23,One year,Yes,Electronic check,97.43,2163.35,No
CUST-100106,Female,0,No,Yes,9,Month-to-month,Yes,Electronic check,25.23,228.85,Yes
CUST-100107,Male,0,Yes,Yes,61,One year,Yes,Credit card (automatic),98.13,6150.71,No
CUST-100108,Female,0,No,No,66,Two year,No,Electronic check,44.2,2772.39,Yes
CUST-100109,Female,0,No,Yes,63,Two year,No,Mailed check,92.5,5954.33,Yes
CUST-100110,Male,0,No,Yes,66,Two year,Yes,Bank transfer (automatic),56.17,3855.68,No
CUST-100111,Female,1,No,No,29,Two year,No,Credit card (automatic),20.64,626.04,No
CUST-100112,Male,0,No,Yes,3,Month-to-month,No,Bank transfer (automatic),98.21,284.17,Yes
CUST-100113,Female,0,No,Yes,6,One year,No,Electronic check,67.99,404.96,No
CUST-100114,Male,1,Yes,Yes,44,Two year,No,Electronic check,89.91,3798.27,No
CUST-100115,Male,0,No,Yes,60,One year,No,Electronic check,41.82,2614.24,No
CUST-100116,Female,0,No,No,45,One year,No,Mailed check,52.95,2594.54,No
CUST-100117,Male,0,No,Yes,21,Two year,Yes,Electronic check,112.22,2274.12,Yes
CUST-100118,Male,1,Yes,Yes,42,One year,No,Bank transfer (automatic),59.71,2478.99,Yes
CUST-100119,Female,0,No,Yes,63,Two year,Yes,Mailed check,39.5,2605.59,No
CUST-100120,Male,0,Yes,No,47,One year,Yes,Credit card (automatic),111.35,4714.62,No
CUST-100121,Male,0,No,No,65,Two year,Yes,Credit card (automatic),88.73,6185.47,No
CUST-100122,Female,0,Yes,Yes,24,Two year,No,Credit card (automatic),20.81,530.66,No
CUST-100123,Female,0,Yes,No,48,Two year,Yes,Bank transfer (automatic),87.43,3983.11,No
CUST-100124,Male,0,Yes,Yes,36,One year,Yes,Credit card (automatic),113.93,4395.36,No
CUST-100125,Male,0,No,No,17,Month-to-month,Yes,Mailed check,46.0,815.33,No
CUST-100126,Female,1,Yes,No,71,One year,No,Credit card (automatic),85.59,5728.32,No
CUST-100127,Female,0,Yes,No,50,One year,No,Mailed check,43.38,2158.89,No
CUST-100128,Male,0,No,Yes,51,Two year,No,Credit card (automatic),66.56,3271.17,No
CUST-100129,Male,0,Yes,Yes,71,Two year,No,Electronic check,42.76,3113.09,No
CUST-100130,Male,1,Yes,Yes,9,Month-to-month,No,Bank transfer (automatic),58.31,545.37,Yes
CUST-100131,Male,0,No,Yes,1,Month-to-month,No,Bank transfer (automatic),98.78,97.78,Yes
CUST-100132,Male,0,Yes,No,55,One year,No,Bank transfer (automatic),71.95,3595.06,No
CUST-100133,Female,0,Yes,No,29,One year,Yes,Mailed check,36.53,1024.81,No
CUST-100134,Male,0,No,Yes,1,Month-to-month,Yes,Mailed check,73.58,73.11,No
CUST-100135,Male,0,Yes,Yes,2,Month-to-month,Yes,Credit card (automatic),68.23,143.26,No
CUST-100136,Male,0,Yes,No,61,Two year,No,Electronic check,67.15,4397.81,No
CUST-100137,Female,1,No,No,21,Month-to-month,No,Mailed check,43.79,830.19,No
CUST-100138,Male,0,No,Yes,12,One year,Yes,Bank transfer (automatic),82.76,950.73,No
CUST-100139,Female,0,No,No,71,Two year,No,Credit card (automatic),95.44,6390.52,No
CUST-100140,Female,1,Yes,Yes,21,Month-to-month,Yes,Bank transfer (automatic),31.01,633.43,No
CUST-100141,Male,0,No,No,50,Two year,Yes,Electronic check,23.45,1113.23,No
CUST-100142,Male,0,Yes,Yes,44,Two year,Yes,Electronic check,104.71,4277.47,No
CUST-100143,Female,0,No,Yes,31,One year,No,Bank transfer (automatic),24.16,719.65,No
CUST-100144,Female,0,Yes,Yes,42,Two year,No,Electronic check,112.15,4958.47,No
CUST-100145,Female,0,No,No,29,Month-to-month,No,Mailed check,116.41,3360.66,Yes
CUST-100146,Female,0,Yes,No,69,One year,Yes,Electronic check,101.12,6530.19,No
CUST-100147,Female,0,Yes,Yes,20,One year,No,Bank transfer (automatic),29.93,581.73,No
CUST-100148,Male,0,No,No,14,Month-to-month,No,Electronic check,68.35,1005.23,No
CUST-100149,Male,0,No,No,66,One year,No,Electronic check,81.52,5031.24,No
CUST-100150,Male,0,No,No,13,Month-to-month,Yes,Credit card (automatic),61.09,799.24,Yes
CUST-100151,Male,1,No,No,3,Month-to-month,No,Credit card (automatic),115.56,376.03,No
CUST-100152,Female,0,No,No,69,One year,No,Bank transfer (automatic),23.53,1496.28,Yes
CUST-100153,Male,1,Yes,No,71,Two year,No,Credit card (automatic),77.7,4986.4,Yes
CUST-100154,Male,0,Yes,Yes,52,Two year,No,Credit card (automatic),59.72,3300.92,No
CUST-100155,Male,1,No,Yes,36,Two year,No,Bank transfer (automatic),108.78,4033.67,No
CUST-100156,Male,0,Yes,No,17,Two year,No,Credit card (automatic),27.43,492.23,No
CUST-100157,Male,0,Yes,No,34,One year,No,Electronic check,114.27,3810.47,Yes
CUST-100158,Male,0,Yes,Yes,29,Month-to-month,No,Electronic check,24.8,710.5,No
CUST-100159,Male,0,No,Yes,22,Month-to-month,No,Electronic check,70.59,1596.37,No
CUST-100160,Male,1,No,No,10,Month-to-month,No,Mailed check,40.27,377.16,Yes
CUST-100161,Male,0,Yes,Yes,33,Two year,No,Mailed check,98.47,3444.82,No
CUST-100162,Female,0,Yes,No,59,Two year,No,Credit card (automatic),118.94,6848.17,No
CUST-100163,Male,0,Yes,No,37,One year,No,Credit card (automatic),67.25,2709.93,No
CUST-100164,Male,0,Yes,No,29,Month-to-month,No,Bank transfer (automatic),71.11,2194.81,No
CUST-100165,Female,0,Yes,No,41,Two year,No,Credit card (automatic),33.95,1261.12,No
CUST-100166,Female,0,Yes,Yes,32,One year,No,Mailed check,41.31,1335.29,No
CUST-100167,Male,0,Yes,Yes,39,Two year,Yes,Electronic check,32.43,1177.96,No
CUST-100168,Male,0,Yes,Yes,14,One year,No,Mailed check,71.28,975.06,No
CUST-100169,Female,0,Yes,No,0,One year,Yes,Credit card (automatic),87.67,87.67,No
CUST-100170,Male,1,No,Yes,63,Two year,No,Credit card (automatic),98.13,6765.37,Yes
CUST-100171,Female,0,Yes,No,47,One year,Yes,Bank transfer (automatic),104.51,5226.41,No
CUST-100172,Female,0,Yes,Yes,66,Two year,Yes,Bank transfer (automatic),88.95,5899.24,No
CUST-100173,Male,0,Yes,No,60,Month-to-month,Yes,Electronic check,70.99,4325.37,Yes
CUST-100174,Male,0,No,No,62,Two year,No,Electronic check,25.25,1630.07,No
CUST-100175,Male,0,Yes,Yes,55,Two year,Yes,Bank transfer (automatic),40.35,2285.05,No
CUST-100176,Female,0,No,No,67,Two year,No,Credit card (automatic),96.09,6286.12,No
CUST-100177,Female,0,Yes,Yes,61,Two year,Yes,Mailed check,28.8,1808.44,No
CUST-100178,Female,0,No,Yes,50,Two year,No,Mailed check,49.18,2655.06,No
CUST-100179,Female,0,Yes,Yes,2,Month-to-month,Yes,Mailed check,93.44,171.49,No
CUST-100180,Female,0,No,Yes,71,Two year,Yes,Mailed check,69.38,5388.07,No
CUST-100181,Male,0,Yes,No,57,Two year,No,Mailed check,53.97,2925.43,No
CUST-100182,Male,0,Yes,No,7,One year,No,Credit card (automatic),85.29,589.6,No
CUST-100183,Male,0,No,No,26,One year,No,Credit card (automatic),76.81,2010.65,No
CUST-100184,Female,0,No,No,46,Two year,No,Electronic check,39.01,1860.73,No
CUST-100185,Female,0,Yes,Yes,34,One year,Yes,Mailed check,101.06,3475.14,No
CUST-100186,Male,0,Yes,Yes,20,Month-to-month,No,Bank transfer (automatic),71.03,1425.68,Yes
CUST-100187,Male,0,No,No,57,Two year,Yes,Bank transfer (automatic),21.57,1160.6,No
CUST-100188,Male,1,No,No,54,Month-to-month,No,Electronic check,28.57,1401.35,No
CUST-100189,Male,0,Yes,Yes,16,Month-to-month,No,Bank transfer (automatic),116.55,1807.42,No
CUST-100190,Female,1,Yes,Yes,27,Month-to-month,No,Credit card (automatic),80.08,1972.81,No
CUST-100191,Male,1,Yes,No,10,Month-to-month,Yes,Electronic check,43.36,439.04,No
CUST-100192,Female,0,No,Yes,59,Two year,No,Electronic check,88.22,4744.61,Yes
CUST-100193,Male,0,No,Yes,60,Two year,No,Electronic check,96.75,6382.39,Yes
CUST-100194,Female,0,No,Yes,4,Month-to-month,No,Bank transfer (automatic),81.27,351.82,Yes
CUST-100195,Female,0,No,Yes,62,Two year,Yes,Bank transfer (automatic),101.02,5834.08,No
CUST-100196,Male,0,Yes,No,57,Two year,Yes,Credit card (automatic),91.87,5190.32,No
CUST-100197,Male,0,Yes,Yes,16,Month-to-month,Yes,Electronic check,71.57,1172.17,No
CUST-100198,Female,0,Yes,No,30,One year,No,Mailed check,97.91,2700.34,No
CUST-100199,Male,0,No,Yes,4,One year,Yes,Electronic check,51.55,208.8,No
CUST-100200,Male,1,Yes,No,54,One year,Yes,Electronic check,84.07,4424.09,No
CUST-100201,Male,0,No,No,55,Two year,No,Credit card (automatic),72.95,3888.57,No
CUST-100202,Male,1,No,Yes,37,Two year,No,Credit card (automatic),61.37,2108.51,No
CUST-100203,Male,1,Yes,Yes,13,Month-to-month,No,Mailed check,32.85,428.3,No
CUST-100204,Male,1,Yes,No,54,One year,Yes,Electronic check,112.34,6222.06,No
CUST-100205,Female,0,Yes,Yes,23,Month-to-month,No,Credit card (automatic),65.13,1623.21,No
CUST-100206,Female,0,No,No,4,Month-to-month,Yes,Electronic check,30.15,110.52,No
CUST-100207,Female,0,No,Yes,31,Two year,Yes,Mailed check,114.26,3727.3,No
CUST-100208,Male,0,Yes,No,14,Month-to-month,Yes,Credit card (automatic),30.23,440.05,No
CUST-100209,Female,0,No,No,45,One year,No,Electronic check,96.29,4335.66,No
CUST-100210,Male,0,Yes,No,15,Month-to-month,No,Bank transfer (automatic),28.74,459.88,No
CUST-100211,Male,0,No,Yes,42,Two year,Yes,Electronic check,23.6,1010.44,No
CUST-100212,Female,0,Yes,No,59,Two year,Yes,Electronic check,42.21,2338.85,No
CUST-100213,Male,0,Yes,No,25,Two year,Yes,Mailed check,42.0,1062.96,No
CUST-100214,Female,0,No,No,13,One year,Yes,Electronic check,55.52,784.66,Yes
CUST-100215,Female,0,No,No,39,Two year,Yes,Electronic check,103.66,4286.41,Yes
CUST-100216,Female,0,Yes,Yes,24,One year,Yes,Electronic check,35.06,768.79,No
CUST-100217,Female,0,Yes,No,3,One year,No,Electronic check,111.47,350.44,No
CUST-100218,Female,0,No,Yes,45,Month-to-month,Yes,Credit card (automatic),104.03,5055.61,No
CUST-100219,Female,0,Yes,No,50,Two year,No,Electronic check,47.69,2372.31,No
CUST-100220,Male,1,Yes,Yes,14,Two year,Yes,Mailed check,46.82,596.93,No
CUST-100221,Male,0,No,Yes,49,Two year,No,Mailed check,111.45,5019.89,Yes
CUST-100222,Female,0,No,Yes,2,Month-to-month,Yes,Electronic check,101.41,199.19,Yes
CUST-100223,Male,0,No,No,46,One year,Yes,Credit card (automatic),59.45,2490.04,No
CUST-100224,Male,0,No,Yes,3,Month-to-month,No,Bank transfer (automatic),20.99,63.45,Yes
CUST-100225,Male,0,No,No,46,Two year,No,Credit card (automatic),76.23,3470.88,No
CUST-100226,Female,0,Yes,No,3,Month-to-month,Yes,Electronic check,118.11,321.9,Yes
CUST-100227,Male,1,Yes,No,31,One year,No,Bank transfer (automatic),114.37,3451.21,No
CUST-100228,Male,0,No,No,42,Two year,Yes,Electronic check,65.56,2519.92,No
CUST-100229,Female,1,No,No,11,Month-to-month,No,Bank transfer (automatic),89.14,924.87,Yes
CUST-100230,Male,0,Yes,No,66,Two year,Yes,Bank transfer (automatic),42.71,2801.65,Yes
CUST-100231,Male,0,Yes,No,26,Month-to-month,No,Bank transfer (automatic),64.95,1690.34,Yes
CUST-100232,Male,0,Yes,No,65,One year,No,Credit card (automatic),108.37,7172.54,No
CUST-100233,Male,0,Yes,Yes,51,Two year,Yes,Credit card (automatic),100.35,5278.87,No
CUST-100234,Male,0,Yes,Yes,5,One year,Yes,Electronic check,106.53,551.88,No
CUST-100235,Male,0,Yes,Yes,37,Two year,Yes,Credit card (automatic),106.14,4117.01,No
CUST-100236,Male,0,No,Yes,2,Month-to-month,Yes,Mailed check,49.95,104.47,Yes
CUST-100237,Female,0,Yes,Yes,2,Month-to-month,Yes,Credit card (automatic),117.69,247.82,No
CUST-100238,Male,0,No,No,71,Two year,Yes,Credit card (automatic),47.74,3659.78,Yes
CUST-100239,Male,1,Yes,No,13,Month-to-month,No,Credit card (automatic),58.1,815.58,Yes
CUST-100240,Male,0,No,No,72,Two year,No,Bank transfer (automatic),106.4,8021.0,No
CUST-100241,Male,0,No,No,71,Two year,No,Electronic check,99.8,6424.48,No
CUST-100242,Female,0,No,No,17,One year,No,Credit card (automatic),61.57,1114.92,No
CUST-100243,Female,0,No,Yes,21,One year,No,Mailed check,53.74,1201.54,No
CUST-100244,Female,0,No,Yes,18,One year,No,Credit card (automatic),45.32,817.84,No
CUST-100245,Male,0,No,No,69,One year,Yes,Electronic check,89.59,6265.29,Yes
CUST-100246,Female,0,No,Yes,31,Two year,No,Electronic check,99.33,2993.53,No
CUST-100247,Male,0,No,No,18,One year,Yes,Bank transfer (automatic),49.6,922.29,No
CUST-100248,Female,0,Yes,No,71,Month-to-month,No,Electronic check,26.98,1879.8,Yes
CUST-100249,Female,0,Yes,Yes,1,One year,No,Credit card (automatic),59.72,65.5,No
CUST-100250,Male,0,No,Yes,1,Month-to-month,No,Electronic check,52.62,51.77,Yes
CUST-100251,Female,0,Yes,No,51,Two year,No,Credit card (automatic),56.86,3155.94,No
CUST-100252,Female,1,No,Yes,40,Month-to-month,Yes,Credit card (automatic),81.1,3517.31,Yes
CUST-100253,Female,0,No,No,44,Two year,Yes,Electronic check,66.91,3061.27,No
CUST-100254,Male,0,No,Yes,49,Two year,No,Mailed check,20.36,1051.17,No
CUST-100255,Male,0,Yes,No,38,One year,No,Bank transfer (automatic),30.08,1155.09,No
CUST-100256,Female,0,No,No,21,Month-to-month,No,Electronic check,48.38,1001.04,Yes
CUST-100257,Male,0,Yes,Yes,35,One year,Yes,Electronic check,119.55,4090.63,Yes
CUST-100258,Male,0,Yes,Yes,40,Two year,Yes,Bank transfer (automatic),60.86,2226.73,No
CUST-100259,Male,0,No,No,67,One year,Yes,Bank transfer (automatic),69.69,4289.45,No
CUST-100260,Female,0,Yes,Yes,8,Month-to-month,Yes,Credit card (automatic),105.01,804.84,Yes
CUST-100261,Male,0,Yes,No,57,Two year,No,Bank transfer (automatic),49.65,2833.2,No
CUST-100262,Female,0,No,Yes,20,Two year,No,Credit card (automatic),24.96,478.29,No
CUST-100263,Male,0,Yes,Yes,30,Month-to-month,No,Bank transfer (automatic),50.96,1658.85,No
CUST-100264,Male,0,No,No,72,One year,No,Electronic check,56.43,4164.38,No
CUST-100265,Female,0,No,No,51,Two year,Yes,Electronic check,80.4,4130.12,No
CUST-100266,Female,0,Yes,Yes,13,Month-to-month,No,Bank transfer (automatic),35.94,422.25,Yes
CUST-100267,Male,0,Yes,Yes,18,Month-to-month,Yes,Mailed check,114.34,2111.83,Yes
CUST-100268,Female,0,Yes,Yes,37,Two year,No,Mailed check,101.36,4066.76,No
CUST-100269,Female,1,No,Yes,21,Month-to-month,No,Credit card (automatic),48.24,934.38,No
CUST-100270,Male,0,No,Yes,16,One year,No,Mailed check,46.28,766.89,No
CUST-100271,Female,1,No,No,22,Two year,No,Mailed check,44.72,1065.32,No
CUST-100272,Male,0,Yes,Yes,55,One year,No,Electronic check,20.96,1068.04,No
CUST-100273,Male,0,No,Yes,12,Two year,No,Credit card (automatic),100.85,1240.43,No
CUST-100274,Female,0,Yes,No,51,One year,Yes,Electronic check,69.86,3216.97,No
CUST-100275,Male,0,Yes,Yes,56,Two year,Yes,Bank transfer (automatic),115.57,6121.45,Yes
CUST-100276,Male,0,No,No,30,Two year,Yes,Credit card (automatic),92.52,2987.92,No
CUST-100277,Male,0,No,Yes,31,Month-to-month,No,Electronic check,105.1,3540.34,Yes
CUST-100278,Female,0,No,Yes,50,One year,Yes,Electronic check,53.57,2574.64,No
CUST-100279,Female,0,No,No,52,One year,No,Electronic check,76.11,3599.52,No
CUST-100280,Male,0,Yes,Yes,5,Month-to-month,Yes,Mailed check,79.53,414.71,No
CUST-100281,Female,0,No,Yes,47,Two year,Yes,Bank transfer (automatic),94.68,4258.26,Yes
CUST-100282,Male,1,Yes,No,24,Month-to-month,Yes,Credit card (automatic),53.78,1193.48,No
CUST-100283,Female,0,No,No,66,One year,Yes,Bank transfer (automatic),73.83,4646.45,Yes
CUST-100284,Female,0,No,Yes,35,One year,No,Bank transfer (automatic),23.18,755.12,No
CUST-100285,Female,0,No,No,32,One year,Yes,Bank transfer (automatic),60.91,1973.1,Yes
CUST-100286,Male,0,No,No,40,One year,No,Credit card (automatic),71.97,3149.43,No
CUST-100287,Male,0,Yes,No,21,Month-to-month,No,Mailed check,66.55,1401.66,No
CUST-100288,Female,0,Yes,Yes,37,One year,No,Credit card (automatic),38.37,1441.25,No
CUST-100289,Female,0,Yes,Yes,2,Month-to-month,Yes,Electronic check,97.13,175.71,No
CUST-100290,Male,0,No,No,41,Two year,No,Bank transfer (automatic),32.84,1454.58,No
CUST-100291,Male,0,No,Yes,37,Two year,Yes,Bank transfer (automatic),52.15,1893.37,No
CUST-100292,Female,0,Yes,Yes,8,Month-to-month,Yes,Mailed check,28.22,247.96,No
CUST-100293,Male,1,No,No,28,One year,Yes,Electronic check,21.01,536.75,Yes
CUST-100294,Female,1,No,Yes,20,Month-to-month,No,Bank transfer (automatic),92.3,1771.03,No
CUST-100295,Male,1,Yes,No,26,Two year,Yes,Electronic check,26.57,696.74,No
